time,tickAttribBidAsk,priceBid,priceAsk,sizeBid,sizeAsk
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1200,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1200,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1400,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1600,6500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1600,6600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1600,700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1500,700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,900,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1400,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1500,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1500,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1400,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.11,100,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.11,100,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,600,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,400,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,300,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,600,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,200,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,300,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,400,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,800,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,900,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1000,6500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1000,6600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1000,6700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1100,6700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1100,6900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1100,6500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1100,6100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1100,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,700,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,700,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,600,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,3400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,3000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,1800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,2200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,700,2200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,700,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1000,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1200,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1200,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,900,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,900,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,800,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,800,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,800,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1200,500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1200,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1400,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1800,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1400,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1300,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,900,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,900,2600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1300,2600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1400,2600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1400,2500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1500,2500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1600,2500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,1600,2400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2000,2400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2500,2400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2700,2400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2700,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,2300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,2800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,3300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2700,3300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,3300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,3800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,4800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,5300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,5800
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2800,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2700,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,2700,6100
